source,target
Sheldon Cottrell,Bow_WI
Asghar Afghan,Bat_AFG
Hashmatullah Shahidi,Bat_AFG
Hazrat Zazai,Bat_AFG
Ikram Ali Khil,Bat_AFG
Najibullah Zadran,Bat_AFG
Noor Ali Zadran,Bat_AFG
Mohammad Nabi,All_AFG
Rahmat Shah,All_AFG
Samiullah Shinwari,All_AFG
Dawlat Zadran,Bow_AFG
Gulbadin Naib,Bow_AFG
Hamid Hassan,Bow_AFG
Mujeeb Ur Rahman,Bow_AFG
Rashid Khan,Bow_AFG
Sayed Shirzad,Bow_AFG
Bat_IND,IND
All_IND,IND
Wc_IND,IND
Bow_IND,IND
Bat_AUS,AUS
All_AUS,AUS
Wc_AUS,AUS
Bow_AUS,AUS
Bat_ENG,ENG
All_ENG,ENG
Wc_ENG,ENG
Bow_ENG,ENG
Bat_NZ,NZ
All_NZ,NZ
Wc_NZ,NZ
Bow_NZ,NZ
Bat_Pak,Pak
All_Pak,Pak
Wc_Pak,Pak
Bow_Pak,Pak
Bat_SL,SL
All_SL,SL
Wc_SL,SL
Bow_SL,SL
Bat_SA,SA
All_SA,SA
Wc_SA,SA
Bow_SA,SA
Bat_BAN,BAN
All_BAN,BAN
Wc_BAN,BAN
Bow_BAN,BAN
Bat_WI,WI
All_WI,WI
Wc_WI,WI
Bow_WI,WI
Bat_AFG,AFG
All_AFG,AFG
Bow_AFG,AFG
IND,WC
AUS,WC
ENG,WC
NZ,WC
Pak,WC
SL,WC
SA,WC
BAN,WC
WI,WC
AFG,WC
